SCATS Number,Location,day,month,year,day_of_week,flow_9to10
3180,BALWYN_RD S of DONCASTER_RD,30,10,2006,0,388
3122,CANTERBURY_RD E of STANHOPE_GV,2,10,2006,0,1187
4035,BURKE_RD N of MONT ALBERT_RD,4,10,2006,2,996
4032,BURKE_RD N of HARP_RD,8,10,2006,6,626
4035,BURKE_RD N of MONT ALBERT_RD,5,10,2006,3,1050
4040,BURKE_RD N of RIVERSDALE_RD,19,10,2006,3,451
4030,BURKE_RD S of DONCASTER_RD,15,10,2006,6,625
3126,CANTERBURY_RD E of WARRIGAL_RD,1,10,2006,6,641
4034,BURKE_RD N OF WHITEHORSE_RD,30,10,2006,0,1088
4030,BURKE_RD S of DONCASTER_RD,12,10,2006,3,1011
4030,BURKE_RD S of DONCASTER_RD,5,10,2006,3,945
4043,BURKE_RD N of TOORAK_RD,22,10,2006,6,673
3120,BURKE_RD N of CANTERBURY_RD,9,10,2006,0,850
3126,CANTERBURY_RD E of WARRIGAL_RD,9,10,2006,0,1183
4040,BURKE_RD N of RIVERSDALE_RD,25,10,2006,2,453
3126,CANTERBURY_RD E of WARRIGAL_RD,3,10,2006,1,1141
3122,CANTERBURY_RD E of STANHOPE_GV,14,10,2006,5,940
4040,BURKE_RD N of RIVERSDALE_RD,1,10,2006,6,394
4032,BURKE_RD N of HARP_RD,2,10,2006,0,979
3122,CANTERBURY_RD E of STANHOPE_GV,10,10,2006,1,1398
3180,BALWYN_RD S of DONCASTER_RD,31,10,2006,1,411
4043,BURKE_RD N of TOORAK_RD,6,10,2006,4,938
4034,BURKE_RD N OF WHITEHORSE_RD,31,10,2006,1,1136
4030,BURKE_RD S of DONCASTER_RD,30,10,2006,0,895
3120,BURKE_RD N of CANTERBURY_RD,24,10,2006,1,871
4040,BURKE_RD N of RIVERSDALE_RD,21,10,2006,5,488
3180,BALWYN_RD S of DONCASTER_RD,18,10,2006,2,422
3126,CANTERBURY_RD E of WARRIGAL_RD,20,10,2006,4,1141
4035,BURKE_RD N of MONT ALBERT_RD,20,10,2006,4,1011
4034,BURKE_RD N OF WHITEHORSE_RD,22,10,2006,6,726
4034,BURKE_RD N OF WHITEHORSE_RD,27,10,2006,4,1106
3122,CANTERBURY_RD E of STANHOPE_GV,9,10,2006,0,1254
4040,BURKE_RD N of RIVERSDALE_RD,6,10,2006,4,503
4043,BURKE_RD N of TOORAK_RD,23,10,2006,0,854
4040,BURKE_RD N of RIVERSDALE_RD,22,10,2006,6,433
4034,BURKE_RD N OF WHITEHORSE_RD,14,10,2006,5,982
